ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
501,501,57.00335005812371,9.921489997618345,Vejtemp_501,13.0°,,
502,502,57.03092604784497,9.926266954097759,Vejtemp_502,14.0°,,
503,503,57.03092604784497,9.926266954097759,Vejtemp_503,13.0°,,
504,504,56.91158000800806,8.391811936966848,Vejtemp_504,13.0°,14.0°,14.0°
505,505,56.83127604678891,8.474092063147262,Vejtemp_505,13.0°,14.0°,14.0°
506,506,56.75907507066727,8.429073073171764,Vejtemp_506,13.0°,14.0°,14.0°
507,507,57.04141199753751,8.987108024901707,Vejtemp_507,13.0°,14.0°,14.0°
508,508,56.965034072503286,8.778057073515871,Vejtemp_508,13.0°,14.0°,14.0°
509,509,57.063530018923835,8.923516987652754,Vejtemp_509,13.0°,14.0°,14.0°
510,510,57.11037004522573,8.589470065349088,Vejtemp_510,13.0°,15.0°,15.0°
511,511,56.84232003261623,8.54380007270172,Vejtemp_511,14.0°,15.0°,15.0°
512,512,56.86535601809868,8.454456000089712,Vejtemp_512,14.0°,15.0°,15.0°
513,513,56.78291007445269,8.416780021126305,Vejtemp_513,14.0°,14.0°,14.0°
514,514,57.00386006040047,8.713250007495027,Vejtemp_514,14.0°,14.0°,14.0°
515,515,57.01006005530901,8.957309949672942,Vejtemp_515,15.0°,14.0°,14.0°
516,516,56.71488001340579,8.469320028980864,Vejtemp_516,14.0°,15.0°,15.0°
517,517,56.78210400189862,8.839375960617405,Vejtemp_517,14.0°,13.0°,13.0°
518,518,56.75475305711703,8.66865907413721,Vejtemp_518,13.0°,14.0°,14.0°
519,519,56.87395499048549,8.703321053210855,Vejtemp_519,14.0°,14.0°,14.0°
520,520,56.93527000069644,8.869983027985677,Vejtemp_520,14.0°,14.0°,14.0°
521,521,56.83764304517141,9.414833928485885,Vejtemp_521,13.0°,14.0°,14.0°
522,522,56.75236003841827,9.247843992208342,Vejtemp_522,13.0°,15.0°,15.0°
523,523,56.69400004679415,9.382509979723773,Vejtemp_523,13.0°,14.0°,14.0°
524,524,56.8837700619067,9.55995001509812,Vejtemp_524,13.0°,14.0°,14.0°
525,525,56.96422001040572,9.409013067126002,Vejtemp_525,13.0°,14.0°,14.0°
526,526,56.89496202115396,9.318864981393839,Vejtemp_526,14.0°,,
527,527,56.695662995626776,9.60712299028564,Vejtemp_527,13.0°,14.0°,14.0°
528,528,56.85787603629621,9.828571975279875,Vejtemp_528,12.0°,13.0°,13.0°
529,529,56.884350069267164,9.639289981249055,Vejtemp_529,12.0°,13.0°,13.0°
530,530,56.84246005787433,10.073850022339503,Vejtemp_530,11.0°,12.0°,12.0°
531,531,56.67135005914775,10.026998538767709,Vejtemp_531,13.0°,13.0°,13.0°
532,532,56.58683803135427,9.808283032258633,Vejtemp_532,13.0°,13.0°,13.0°
533,533,56.76224999165699,9.95549300676576,Vejtemp_533,12.0°,12.0°,12.0°
534,534,56.75318004936195,10.273385919000603,Vejtemp_534,12.0°,13.0°,13.0°
535,535,56.711525003263866,9.825048989183056,Vejtemp_535,13.0°,13.0°,13.0°
536,536,56.68983003375192,9.998868921302774,Vejtemp_536,14.0°,13.0°,13.0°
537,537,57.237270004949856,10.360451920983545,Vejtemp_537,13.0°,13.0°,13.0°
538,538,57.30119003740637,10.155925008328607,Vejtemp_538,13.0°,13.0°,13.0°
539,539,57.28449001650201,9.788602070450901,Vejtemp_539,14.0°,15.0°,15.0°
540,540,57.190099998929625,10.02636306170435,Vejtemp_540,15.0°,12.0°,12.0°
541,541,57.13280501100436,10.385638949505337,Vejtemp_541,13.0°,12.0°,12.0°
542,542,56.8702800126318,8.622420055435756,Vejtemp_542,14.0°,14.0°,14.0°
543,543,57.09516506733589,9.85543392855786,Vejtemp_543,13.0°,13.0°,13.0°
544,544,57.06596006840887,9.983094972173134,Vejtemp_544,13.0°,14.0°,14.0°
545,545,55.59234607706412,12.768874036024359,Vejtemp_545,14.0°,15.0°,15.0°
546,546,55.573260077040516,12.834990924941213,Vejtemp_546,14.0°,15.0°,15.0°
547,547,55.56530404308363,12.894743044870943,Vejtemp_547,14.0°,15.0°,15.0°
548,548,55.577137016400606,12.81896898906815,Vejtemp_548,13.0°,15.0°,15.0°
549,549,55.63328999926403,12.669682936568949,Vejtemp_549,13.0°,14.0°,14.0°
550,550,55.3465100150128,11.070809980437355,Vejtemp_550,13.0°,15.0°,15.0°
551,551,55.346348047128245,11.070842061578228,Vejtemp_551,,15.0°,15.0°
552,552,55.341953007276544,11.035643038537415,Vejtemp_552,13.0°,15.0°,15.0°
553,553,55.34188500652585,11.035754044271565,Vejtemp_553,12.0°,15.0°,15.0°
554,554,55.336266007758795,10.990723926615539,Vejtemp_554,14.0°,15.0°,15.0°
555,555,55.336269995009175,10.99073295677298,Vejtemp_555,14.0°,15.0°,15.0°
556,556,55.33221402464814,10.965631552190992,Vejtemp_556,14.0°,15.0°,15.0°
557,557,55.31552006718056,10.919013964044092,Vejtemp_557,14.0°,,
558,558,55.30604007652176,10.884426071760656,Vejtemp_558,14.0°,15.0°,15.0°
559,559,55.30216603299146,10.828884054254015,Vejtemp_559,14.0°,15.0°,15.0°
560,560,55.348570042945724,11.12412899821336,Vejtemp_560,13.0°,15.0°,15.0°
561,561,55.34020003816405,11.02329993773388,Vejtemp_561,,13.0°,13.0°
