ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
1,Skagen,57.72540330309609,10.579238916078774,Vejtemp_1,21°,22°,22°
2,Hjoerring,57.45770035155239,9.994979640604203,Vejtemp_2,21°,19°,19°
3,Thisted,56.95923282275056,8.700091644977993,Vejtemp_3,29°,17°,17°
4,Aalborg,57.0436757692958,9.92528877646127,Vejtemp_4,21°,19°,19°
5,Viborg,56.45297138538134,9.398296561781704,Vejtemp_5,22°,18°,18°
6,Randers,56.46055972507178,10.03825016268686,Vejtemp_6,30°,21°,21°
7,Holstebro,56.35951074837025,8.621013855470943,Vejtemp_7,18°,18°,18°
8,Ikast,56.13581876896466,9.152132373956302,Vejtemp_8,31°,20°,20°
9,Aarhus,56.167004750185406,10.190152028068606,Vejtemp_9,30°,24°,24°
10,Ringkoebing,56.09801403583101,8.30623339262066,Vejtemp_10,22°,18°,18°
11,Horsens_Vejle,55.79358726687867,9.70033318285214,Vejtemp_11,27°,23°,23°
12,Esbjerg,55.48371236383134,8.467712132801912,Vejtemp_12,18°,19°,19°
13,Ribe,55.32785444149237,8.796052237837126,Vejtemp_13,29°,20°,20°
14,Kolding,55.49286134097332,9.468880321925678,Vejtemp_14,25°,22°,22°
15,Aabenraa,55.041790781107686,9.36223665080446,Vejtemp_15,33°,24°,24°
16,Grindsted,55.75847462816664,8.924198766956234,Vejtemp_16,29°,20°,20°
17,Odense,55.40433218492701,10.40007439872935,Vejtemp_17,29°,24°,24°
18,Svendborg,55.082131253176975,10.615379385637684,Vejtemp_18,35°,22°,22°
19,Kalundborg,55.678430102348926,11.132111417023047,Vejtemp_19,23°,23°,23°
20,Holbaek,55.71478317842036,11.71624429898808,Vejtemp_20,29°,23°,23°
21,Slagelse,55.4041509259069,11.350696483230257,Vejtemp_21,23°,23°,23°
22,Naestved,55.2270828936444,11.768146425954058,Vejtemp_22,26°,24°,24°
23,Lolland,54.75588445571971,11.453693750653583,Vejtemp_23,38°,24°,24°
24,Falster,54.86405991160968,11.897788640140478,Vejtemp_24,36°,25°,25°
25,Koege,55.445905747800005,12.148787888346185,Vejtemp_25,27°,24°,24°
26,Hilleroed,55.93023608303263,12.294077940665346,Vejtemp_26,23°,23°,23°
27,Koebenhavn,55.67540416204908,12.51952800949747,Vejtemp_27,28°,23°,23°
28,Bornholm,55.12063248266432,14.926833853544782,Vejtemp_28,18°,20°,20°
29,Aars,56.80455338377119,9.510232454001066,Vejtemp_29,21°,20°,20°
