ID,NAME,Latitude,Longitude,StationID,Vej_temp,Luft_temp,Dewpoint
1,1,55.95821800107858,11.921130044101616,Vejtemp_1,27.0°,23.0°,23.0°
2,2,55.87288000496951,12.191519929346516,Vejtemp_2,27.0°,22.0°,22.0°
3,3,55.84320003294816,12.03981592646499,Vejtemp_3,26.0°,24.0°,24.0°
4,4,55.80534007830431,12.380185957459675,Vejtemp_4,22.0°,21.0°,21.0°
5,5,55.80292005042507,12.533508032699384,Vejtemp_5,24.0°,21.0°,21.0°
6,6,55.75418005207008,12.29111092733249,Vejtemp_6,25.0°,21.0°,21.0°
7,7,55.73354300522918,12.127053920098245,Vejtemp_7,25.0°,21.0°,21.0°
8,8,55.73809007514659,11.950188947365167,Vejtemp_8,,21.0°,21.0°
9,9,55.69499005474504,12.534574039495734,Vejtemp_9,25.0°,24.0°,24.0°
10,10,55.648342045750326,11.927538987208841,Vejtemp_10,25.0°,22.0°,22.0°
11,11,55.6554700355814,12.207268983786877,Vejtemp_11,29.0°,24.0°,24.0°
12,12,55.64341399622667,12.426630985805891,Vejtemp_12,25.0°,23.0°,23.0°
13,13,55.62980704163937,12.544102921929039,Vejtemp_13,24.0°,21.0°,21.0°
14,14,55.61411304477866,12.510605050965538,Vejtemp_14,22.0°,23.0°,23.0°
15,15,55.59961004701753,12.100910995173548,Vejtemp_15,27.0°,23.0°,23.0°
16,16,55.57253603503841,11.980720572957756,Vejtemp_16,25.0°,22.0°,22.0°
17,17,55.539345036560924,11.927479994102232,Vejtemp_17,26.0°,22.0°,22.0°
18,18,55.66304005411995,12.237548006864056,Vejtemp_18,25.0°,23.0°,23.0°
19,19,55.67630404729844,12.42482907277561,Vejtemp_19,26.0°,26.0°,26.0°
20,20,55.45721404235773,11.968831983688235,Vejtemp_20,27.0°,22.0°,22.0°
21,21,55.47812006355892,12.096418968596495,Vejtemp_21,24.0°,21.0°,21.0°
22,22,55.73854002874154,12.45544893564879,Vejtemp_22,23.0°,20.0°,20.0°
23,23,55.640697010099785,12.351294031581006,Vejtemp_23,26.0°,23.0°,23.0°
24,24,55.61299003762023,12.324471031078883,Vejtemp_24,25.0°,22.0°,22.0°
25,25,55.961340032812025,12.484130072810355,Vejtemp_25,26.0°,25.0°,25.0°
26,26,55.69813501747992,12.384458958318834,Vejtemp_26,,21.0°,21.0°
27,27,55.93545999720146,12.07780905847746,Vejtemp_27,28.0°,24.0°,24.0°
28,28,55.6757200529854,12.324920051584003,Vejtemp_28,27.0°,22.0°,22.0°
29,29,55.62819007006396,12.584975052803832,Vejtemp_29,,22.0°,22.0°
30,30,55.71806304102107,12.30339192240338,Vejtemp_30,25.0°,22.0°,22.0°
31,31,55.757990011158206,12.442968974160266,Vejtemp_31,23.0°,20.0°,20.0°
32,32,55.552680020604804,12.224668948095635,Vejtemp_32,22.0°,21.0°,21.0°
33,33,55.50393002671749,12.175990040645557,Vejtemp_33,23.0°,22.0°,22.0°
34,34,55.81289003453068,12.060119958030732,Vejtemp_34,24.0°,24.0°,24.0°
35,35,55.80982603383034,12.03670396853746,Vejtemp_35,24.0°,22.0°,22.0°
36,36,55.7677500050202,12.522417000491762,Vejtemp_36,23.0°,,
37,37,55.99747505864873,12.143668947595577,Vejtemp_37,29.0°,24.0°,24.0°
38,38,56.07580607200476,12.447412943251917,Vejtemp_38,27.0°,23.0°,23.0°
39,39,56.04691305360471,12.52526099994265,Vejtemp_39,27.0°,22.0°,22.0°
40,40,55.93230004115208,12.520993976963826,Vejtemp_40,26.0°,23.0°,23.0°
41,41,55.946190072940304,12.342758058069672,Vejtemp_41,29.0°,22.0°,22.0°
42,42,55.86265002033665,12.253046973639703,Vejtemp_42,28.0°,21.0°,21.0°
43,43,55.886350028546076,12.150091964922154,Vejtemp_43,28.0°,22.0°,22.0°
44,44,55.838220052452805,12.238645937258015,Vejtemp_44,,20.0°,20.0°
45,45,55.85938007118704,12.398896951986762,Vejtemp_45,24.0°,20.0°,20.0°
46,46,55.88310604801839,12.51902795535424,Vejtemp_46,25.0°,21.0°,21.0°
47,47,55.83253505836896,12.549177019774557,Vejtemp_47,24.0°,20.0°,20.0°
48,48,55.808487058662564,12.474091005413134,Vejtemp_48,22.0°,20.0°,20.0°
49,49,55.853170065548674,12.449835932501395,Vejtemp_49,25.0°,21.0°,21.0°
50,50,55.77210604978029,12.38745895542882,Vejtemp_50,21.0°,20.0°,20.0°
51,51,55.82219305374918,12.363390019262242,Vejtemp_51,24.0°,21.0°,21.0°
52,52,55.7830199902314,12.280161065099312,Vejtemp_52,27.0°,22.0°,22.0°
53,53,55.77896999122686,12.12142099997914,Vejtemp_53,29.0°,22.0°,22.0°
54,54,55.767040029941164,12.15143995900518,Vejtemp_54,26.0°,21.0°,21.0°
55,55,55.80661003629755,12.13458700067019,Vejtemp_55,25.0°,21.0°,21.0°
56,56,55.78559507778064,12.118767948151172,Vejtemp_56,26.0°,21.0°,21.0°
57,57,55.80309307022182,12.264523950923143,Vejtemp_57,26.0°,20.0°,20.0°
58,58,55.78434004949013,12.496583978938329,Vejtemp_58,25.0°,20.0°,20.0°
59,59,55.54411707375737,12.040953070107129,Vejtemp_59,23.0°,22.0°,22.0°
60,60,55.729130022842085,12.204357001262167,Vejtemp_60,26.0°,21.0°,21.0°
61,61,55.63223301272489,12.043650071056994,Vejtemp_61,,24.0°,24.0°
62,62,55.72185004365678,12.3852899363544,Vejtemp_62,25.0°,22.0°,22.0°
63,63,55.750645073679806,12.386541018706186,Vejtemp_63,24.0°,21.0°,21.0°
64,64,55.7488020562022,12.403677009790783,Vejtemp_64,24.0°,20.0°,20.0°
65,65,55.716232026709555,12.435853983667666,Vejtemp_65,26.0°,24.0°,24.0°
66,66,55.767640035468155,12.547070525275489,Vejtemp_66,26.0°,22.0°,22.0°
67,67,55.75018007622515,12.58895892562747,Vejtemp_67,25.0°,23.0°,23.0°
68,68,55.73958606393179,12.525317076226637,Vejtemp_68,27.0°,22.0°,22.0°
69,69,55.64057506767787,11.840557027670872,Vejtemp_69,27.0°,22.0°,22.0°
70,70,55.66576399334467,12.184091051177184,Vejtemp_70,27.0°,23.0°,23.0°
71,71,55.67481005495453,12.362663061780937,Vejtemp_71,21.0°,,
72,72,55.70980506216438,12.44602904163865,Vejtemp_72,27.0°,23.0°,23.0°
73,73,55.68080501020918,12.436152030857821,Vejtemp_73,28.0°,23.0°,23.0°
74,74,55.716843059775805,12.490940033342877,Vejtemp_74,25.0°,23.0°,23.0°
75,75,55.710915034934075,12.588575064397636,Vejtemp_75,25.0°,24.0°,24.0°
76,76,55.69728501523192,12.479280983768044,Vejtemp_76,25.0°,24.0°,24.0°
77,77,55.68980002932081,12.583398025008442,Vejtemp_77,27.0°,22.0°,22.0°
78,78,55.64362307334429,12.50027745789707,Vejtemp_78,25.0°,22.0°,22.0°
79,79,55.647335066532484,12.642799033098507,Vejtemp_79,26.0°,22.0°,22.0°
80,80,55.66941505774824,12.580980940719053,Vejtemp_80,24.0°,24.0°,24.0°
81,81,55.62912007293705,12.571195928935184,Vejtemp_81,24.0°,23.0°,23.0°
82,82,55.703304001676194,12.568656010505228,Vejtemp_82,26.0°,21.0°,21.0°
83,83,55.72286001239802,12.51649095263605,Vejtemp_83,26.0°,22.0°,22.0°
84,84,55.71729304643832,12.568369970854587,Vejtemp_84,25.0°,22.0°,22.0°
85,85,55.71750004366484,12.568378989804163,Vejtemp_85,25.0°,22.0°,22.0°
86,86,55.672634007399346,12.480270982356148,Vejtemp_86,29.0°,,
87,87,55.657776065966324,12.452416980503754,Vejtemp_87,28.0°,22.0°,22.0°
88,88,55.605247010141476,12.617973998303219,Vejtemp_88,24.0°,23.0°,23.0°
89,89,55.603550000058696,12.583181958932618,Vejtemp_89,25.0°,22.0°,22.0°
90,90,55.60013606529243,12.308924958983914,Vejtemp_90,25.0°,22.0°,22.0°
91,91,55.44769003850943,12.15806303751921,Vejtemp_91,27.0°,23.0°,23.0°
92,92,55.51036505670961,12.150160990644283,Vejtemp_92,27.0°,22.0°,22.0°
93,93,55.45416300077401,12.002191918491256,Vejtemp_93,27.0°,22.0°,22.0°
94,94,55.93814502937295,11.520688929128577,Vejtemp_94,26.0°,24.0°,24.0°
95,95,55.66451601905321,11.272801919609794,Vejtemp_95,25.0°,22.0°,22.0°
96,96,55.65957604162825,11.14005594547956,Vejtemp_96,26.0°,23.0°,23.0°
97,97,55.43063703170234,11.443252038298429,Vejtemp_97,23.0°,22.0°,22.0°
98,98,55.36352000333546,11.238123983743138,Vejtemp_98,24.0°,21.0°,21.0°
